d_Nodes_0,69-4 型潜水装具,Nodes
d_Nodes_1,压缩空气瓶,Nodes
d_Nodes_2,潜水服,Nodes
d_Nodes_3,供气调节器,Nodes
d_Nodes_4,面罩,Nodes
d_Nodes_5,压铅,Nodes
d_Nodes_6,脚蹼,Nodes
d_Nodes_7,信号绳,Nodes
d_Nodes_8,附属器材,Nodes
d_Nodes_9,下潜深度,Nodes
d_Nodes_10,气瓶容积,Nodes
d_Nodes_11,极限工作压强,Nodes
d_Nodes_12,下潜深度40m 以浅,Nodes
d_Nodes_13,气瓶容积12L,Nodes
d_Nodes_14,极限工作压强20MPa,Nodes
d_Nodes_15,容器,Nodes
d_Nodes_16,储存供潜水员呼吸使用的压缩空气,Nodes
d_Nodes_17,气瓶,Nodes
d_Nodes_18,气瓶阀,Nodes
d_Nodes_19,信号阀,Nodes
d_Nodes_20,安全阀,Nodes
d_Nodes_21,气瓶背架,Nodes
d_Nodes_22,气瓶总成,Nodes
d_Nodes_23,钢质气瓶总成,Nodes
d_Nodes_24,铝合金气瓶总成,Nodes
d_Nodes_25,防寒保暖,Nodes
d_Nodes_26,保护潜水员在水下工作时身体免受伤害,Nodes
d_Nodes_27,干式潜水服,Nodes
d_Nodes_28,湿式潜水服,Nodes
d_Nodes_29,重要装置,Nodes
d_Nodes_30,把气瓶所储存的压缩空气自动调节成符合该条件下潜水员呼吸所需要压强和流量,Nodes
d_Nodes_31,一级减压器,Nodes
d_Nodes_32,二级减压器,Nodes
d_Nodes_33,中压软管,Nodes
d_Nodes_34,1.5MPa,Nodes
d_Nodes_35,69-4 型潜水装具的面罩,Nodes
d_Nodes_36,半面罩,Nodes
d_Nodes_37,全面罩,Nodes
d_Nodes_38,潜水员的眼睛和鼻子免受水的刺激,Nodes
d_Nodes_39,改善水下视觉,Nodes
d_Nodes_40,常用的面罩,Nodes
d_Nodes_41,M102B 型半面罩,Nodes
d_Nodes_42,M126 型半面罩,Nodes
d_Nodes_43,M273 型半面罩,Nodes
d_Nodes_44,QM201 全面罩,Nodes
d_Nodes_45,面窗玻璃,Nodes
d_Nodes_46,面框,Nodes
d_Nodes_47,面垫,Nodes
d_Nodes_48,排气片,Nodes
d_Nodes_49,头带,Nodes
d_Nodes_50,卡扣,Nodes
d_Nodes_51,调节夹,Nodes
d_Nodes_52,底部装有单向排气阀,Nodes
d_Nodes_53,单向排气阀,Nodes
d_Nodes_54,排气,Nodes
d_Nodes_55,排水,Nodes
d_Nodes_56,面罩框,Nodes
d_Nodes_57,M126 型半面罩的面窗玻璃,Nodes
d_Nodes_58,钢化玻璃,Nodes
d_Nodes_59,潜水过程中内侧玻璃不易起雾,Nodes
d_Nodes_60,硅胶材质,Nodes
d_Nodes_61,柔软,Nodes
d_Nodes_62,无框架设计,Nodes
d_Nodes_63,69-3 型潜水装具的开放式全面罩,Nodes
d_Nodes_64,外观,Nodes
d_Nodes_65,视野,Nodes
d_Nodes_66,操作性,Nodes
d_Nodes_67,佩戴舒适度,Nodes
d_Nodes_68,硅胶材料,Nodes
d_Nodes_69,污染环境,Nodes
d_Nodes_70,寒冷水域,Nodes
d_Nodes_71,军事,Nodes
d_Nodes_72,商业,Nodes
d_Nodes_73,工程技术潜水,Nodes
d_Nodes_74,调整潜水员在水下的浮力,Nodes
d_Nodes_75,每套潜水装具,Nodes
d_Nodes_76,8块,Nodes
d_Nodes_77,1kg,Nodes
d_Nodes_78,有扣式,Nodes
d_Nodes_79,带式,Nodes
d_Nodes_80,助游器材,Nodes
d_Nodes_81,压模橡胶,Nodes
d_Nodes_82,提升潜水员在水中运动速度,Nodes
d_Nodes_83,游泳型,Nodes
d_Nodes_84,动力型,Nodes
d_Nodes_85,游泳型脚蹼,Nodes
d_Nodes_86,比较小,Nodes
d_Nodes_87,较轻,Nodes
d_Nodes_88,较软,Nodes
d_Nodes_89,长时间水面游泳,Nodes
d_Nodes_90,动力型脚蹼,Nodes
d_Nodes_91,较长,Nodes
d_Nodes_92,较重,Nodes
d_Nodes_93,较硬,Nodes
d_Nodes_94,缓慢、短促的击水,Nodes
d_Nodes_95,部队装备的潜水脚蹼,Nodes
d_Nodes_96,套式,Nodes
d_Nodes_97,带扣式,Nodes
d_Nodes_98,纽带,Nodes
d_Nodes_99,潜水员,Nodes
d_Nodes_100,水面保障人员,Nodes
d_Nodes_101,保障信号联络与水下安全,Nodes
d_Nodes_102,牢固,Nodes
d_Nodes_103,中性,Nodes
d_Nodes_104,负浮力,Nodes
d_Nodes_105,潜水员单独工作,Nodes
d_Nodes_106,潜水环境恶劣,Nodes
d_Nodes_107,新潜水员训练或作业,Nodes
